event,run,cluster_size
1616,1002,7
2062,1002,2
2812,1002,5
2849,1002,4
4308,1002,4
4607,1002,5
4978,1002,5
5763,1002,5
5855,1002,7
7121,1002,6
7350,1002,4
8731,1002,5
9479,1002,7
11122,1002,6
11248,1002,5
13377,1002,7
14045,1002,8
14911,1002,4
15537,1002,7
16522,1002,5
17644,1002,2
17895,1002,3
17953,1002,5
19023,1002,5
19921,1002,5
21067,1002,2
21323,1002,5
22867,1002,3
25188,1002,3
26698,1002,5
27579,1002,3
28946,1002,6
29176,1002,3
29780,1002,3
29803,1002,1
30191,1002,5
31286,1002,6
33335,1002,8
33801,1002,4
34373,1002,3
35512,1002,4
35953,1002,4
36982,1002,5
37189,1002,4
37868,1002,3
38521,1002,3
39682,1002,5
39914,1002,7
40131,1002,7
40725,1002,2
40770,1002,3
42502,1002,5
43092,1002,5
43320,1002,5
43498,1002,4
43992,1002,7
44033,1002,4
44191,1002,6
44197,1002,2
45880,1002,2
47846,1002,6
48775,1002,3
50249,1002,5
50480,1002,4
50737,1002,7
50746,1002,6
51386,1002,2
51494,1002,1
52986,1002,7
53292,1002,6
53362,1002,4
53615,1002,7
54466,1002,5
54649,1002,3
56175,1002,5
57481,1002,5
57737,1002,6
58451,1002,7
58827,1002,5
60562,1002,3
60734,1002,5
61526,1002,4
62323,1002,6
62587,1002,6
65375,1002,7
65867,1002,8
66102,1002,5
66676,1002,4
67054,1002,4
67234,1002,5
67504,1002,5
68774,1002,7
71614,1002,5
72157,1002,5
72728,1002,4
72750,1002,7
73461,1002,7
74401,1002,6
75290,1002,10
75346,1002,3
75423,1002,2
76227,1002,2
77951,1002,4
78220,1002,5
78797,1002,6
79357,1002,6
79574,1002,3
80025,1002,2
80510,1002,7
81192,1002,3
81739,1002,4
81917,1002,4
82218,1002,7
83867,1002,7
84799,1002,4
85832,1002,9
87281,1002,7
87768,1002,5
88218,1002,6
88257,1002,5
89766,1002,4
89848,1002,9
89963,1002,5
90535,1002,5
92660,1002,3
92777,1002,2
94365,1002,8
94843,1002,6
95851,1002,5
96220,1002,4
96642,1002,7
97121,1002,4
97275,1002,4
97452,1002,5
97942,1002,5
98301,1002,4
99369,1002,2
99661,1002,7
100069,1002,4
100535,1002,2
100884,1002,1
101782,1002,6
101901,1002,7
102367,1002,3
102772,1002,6
103327,1002,4
104486,1002,4
105404,1002,3
107951,1002,7
108300,1002,3
109119,1002,3
110488,1002,3
110639,1002,7
110868,1002,5
111253,1002,4
112959,1002,4
114250,1002,3
115316,1002,4
115516,1002,2
117141,1002,7
117543,1002,7
118103,1002,3
120502,1002,4
120769,1002,4
120922,1002,5
121622,1002,3
122581,1002,5
122984,1002,7
123354,1002,4
123502,1002,2
123587,1002,6
124185,1002,3
124224,1002,4
125334,1002,4
125551,1002,3
125806,1002,7
126282,1002,4
126444,1002,6
127673,1002,5
129051,1002,6
131035,1002,6
131105,1002,4
131367,1002,6
132215,1002,6
133455,1002,2
134284,1002,4
134897,1002,5
135563,1002,2
136183,1002,4
136889,1002,2
137003,1002,4
137350,1002,7
137768,1002,3
138453,1002,8
138482,1002,5
139121,1002,3
139745,1002,5
140221,1002,6
140264,1002,6
141436,1002,6
142135,1002,6
142417,1002,7
143330,1002,6
144309,1002,7
147353,1002,5
147369,1002,4
149635,1002,7
150189,1002,6
150489,1002,4
151117,1002,5
152328,1002,6
154020,1002,4
154479,1002,2
155626,1002,9
156326,1002,5
157528,1002,8
158100,1002,3
160669,1002,1
162106,1002,6
162146,1002,1
162951,1002,5
163013,1002,5
163268,1002,5
163482,1002,5
163731,1002,5
163975,1002,4
164096,1002,6
165726,1002,9
166777,1002,3
166926,1002,6
166948,1002,2
167604,1002,2
167683,1002,5
168012,1002,1
168375,1002,6
168409,1002,4
168652,1002,7
168746,1002,4
169252,1002,4
170069,1002,1
170165,1002,7
170380,1002,3
170956,1002,2
171508,1002,5
172017,1002,5
173792,1002,3
173804,1002,3
174205,1002,5
174768,1002,4
174989,1002,5
175722,1002,2
176614,1002,6
176720,1002,7
177065,1002,3
177322,1002,5
177431,1002,2
177539,1002,7
178238,1002,3
178872,1002,2
179261,1002,5
180023,1002,6
180796,1002,2
180890,1002,6
181982,1002,5
183027,1002,3
186007,1002,4
187169,1002,6
187535,1002,5
188528,1002,4
189922,1002,3
191531,1002,7
191947,1002,6
192065,1002,4
192193,1002,6
193643,1002,7
194453,1002,6
194526,1002,5
194613,1002,9
194690,1002,10
194933,1002,5
195307,1002,6
196599,1002,3
196780,1002,12
198075,1002,2
198949,1002,5
752,1002,8
992,1002,6
1678,1002,5
3280,1002,9
3437,1002,8
4163,1002,4
4382,1002,3
5574,1002,5
6010,1002,5
7275,1002,3
7973,1002,5
8124,1002,2
9943,1002,4
10434,1002,6
11122,1002,3
11576,1002,5
13543,1002,6
13735,1002,9
14659,1002,8
19168,1002,4
19613,1002,5
20658,1002,7
20912,1002,4
22346,1002,3
22474,1002,4
23033,1002,4
24606,1002,5
25453,1002,6
25506,1002,6
25788,1002,3
26664,1002,4
26671,1002,5
28131,1002,3
28164,1002,6
28841,1002,6
29091,1002,4
29132,1002,6
29719,1002,5
31014,1002,5
31680,1002,6
32025,1002,4
35375,1002,6
35375,1002,6
37070,1002,4
37130,1002,3
38056,1002,2
42005,1002,5
43137,1002,6
43494,1002,8
45178,1002,5
45679,1002,4
46311,1002,4
47473,1002,7
48089,1002,3
49481,1002,6
49677,1002,4
49891,1002,5
50205,1002,5
50904,1002,4
51155,1002,5
51735,1002,3
53178,1002,3
53215,1002,5
54230,1002,3
54455,1002,5
54989,1002,5
55442,1002,4
56794,1002,7
58206,1002,5
58353,1002,6
59265,1002,3
59613,1002,2
59860,1002,6
61520,1002,2
61657,1002,4
61888,1002,7
62068,1002,7
63302,1002,7
65922,1002,6
68321,1002,3
68516,1002,9
68646,1002,6
69033,1002,5
69895,1002,4
70414,1002,8
71011,1002,6
71272,1002,4
72878,1002,5
73926,1002,2
74305,1002,2
75495,1002,4
75572,1002,5
75820,1002,6
76624,1002,3
77583,1002,4
77771,1002,6
78216,1002,5
78393,1002,5
78397,1002,7
79874,1002,3
80428,1002,6
80503,1002,2
80917,1002,4
81404,1002,4
81415,1002,4
83040,1002,8
83367,1002,6
84425,1002,5
85357,1002,6
85528,1002,6
86459,1002,2
86491,1002,4
88616,1002,7
89563,1002,5
89955,1002,3
90854,1002,3
91190,1002,5
92294,1002,8
93414,1002,2
96051,1002,5
97759,1002,4
98184,1002,5
98579,1002,6
98679,1002,6
99608,1002,5
100082,1002,3
100596,1002,4
100628,1002,6
101009,1002,3
101946,1002,7
103284,1002,3
104204,1002,4
106667,1002,4
109240,1002,4
109555,1002,3
111366,1002,2
111501,1002,4
111775,1002,3
111852,1002,4
112989,1002,6
113731,1002,7
115077,1002,5
115228,1002,7
116339,1002,6
116526,1002,5
116795,1002,4
117005,1002,4
117080,1002,3
119844,1002,4
120759,1002,2
122162,1002,6
122365,1002,4
122990,1002,5
123172,1002,5
123896,1002,4
124914,1002,2
125669,1002,3
126472,1002,7
128539,1002,5
128592,1002,2
128800,1002,5
129738,1002,3
129864,1002,3
131109,1002,5
133010,1002,2
133566,1002,5
135169,1002,8
136530,1002,4
137354,1002,7
137434,1002,5
138650,1002,4
138805,1002,8
139761,1002,3
139781,1002,7
140311,1002,5
140488,1002,7
140645,1002,4
141452,1002,5
141508,1002,6
141648,1002,6
142162,1002,4
142681,1002,4
142908,1002,5
143036,1002,8
143568,1002,4
143771,1002,4
144379,1002,4
144713,1002,3
144747,1002,2
144807,1002,7
145061,1002,4
145063,1002,6
145979,1002,5
146862,1002,7
147049,1002,2
147437,1002,5
147897,1002,5
149461,1002,5
149906,1002,5
149943,1002,5
150721,1002,2
150732,1002,3
151084,1002,7
151372,1002,3
151973,1002,8
155650,1002,5
157019,1002,5
157367,1002,6
157840,1002,4
157895,1002,9
157976,1002,7
158104,1002,4
162024,1002,3
162812,1002,3
162856,1002,5
162867,1002,4
163197,1002,4
164836,1002,4
165280,1002,6
166304,1002,6
166402,1002,4
170565,1002,8
171555,1002,5
172347,1002,5
174809,1002,9
175139,1002,3
175872,1002,4
178569,1002,6
178870,1002,3
179672,1002,4
179756,1002,5
180344,1002,6
181057,1002,6
181877,1002,4
182518,1002,4
182674,1002,4
184038,1002,5
184546,1002,7
184828,1002,8
184851,1002,7
185955,1002,6
186284,1002,7
187588,1002,1
190101,1002,4
191233,1002,3
191422,1002,3
192639,1002,7
193306,1002,6
193432,1002,5
195577,1002,6
195836,1002,5
195962,1002,4
196052,1002,6
196689,1002,3
197400,1002,3
197772,1002,3
199941,1002,4
884,1002,2
2197,1002,2
2650,1002,3
3123,1002,6
3531,1002,3
3895,1002,4
4138,1002,6
5550,1002,8
6001,1002,4
6127,1002,6
6869,1002,4
8003,1002,7
8209,1002,2
8471,1002,6
8759,1002,3
8950,1002,7
9011,1002,8
9549,1002,6
11556,1002,5
11655,1002,5
12057,1002,4
13786,1002,4
15251,1002,3
15415,1002,5
17139,1002,3
17470,1002,5
17638,1002,5
17914,1002,3
18084,1002,6
18212,1002,5
18374,1002,6
19002,1002,6
19268,1002,2
19268,1002,2
19732,1002,3
20889,1002,4
21127,1002,6
21667,1002,5
22130,1002,4
22343,1002,3
22360,1002,7
23454,1002,6
24147,1002,5
24147,1002,5
24358,1002,5
24714,1002,5
26020,1002,6
26798,1002,2
27276,1002,6
27293,1002,6
27764,1002,3
27820,1002,3
28471,1002,7
29354,1002,4
30750,1002,6
32263,1002,4
33145,1002,4
34628,1002,4
34866,1002,4
36699,1002,4
36910,1002,4
37481,1002,6
38519,1002,5
38774,1002,7
38906,1002,1
39055,1002,6
40856,1002,4
42302,1002,3
43277,1002,7
43937,1002,3
44132,1002,9
45605,1002,4
47193,1002,3
47299,1002,5
48075,1002,3
48087,1002,6
48204,1002,1
49277,1002,4
49405,1002,1
50118,1002,6
50538,1002,6
53717,1002,4
54646,1002,1
55626,1002,4
56313,1002,3
56332,1002,6
56748,1002,5
56978,1002,8
57541,1002,4
58186,1002,7
59247,1002,7
59838,1002,4
59872,1002,4
60541,1002,5
60900,1002,6
60939,1002,3
61520,1002,3
62208,1002,4
62609,1002,6
63342,1002,4
63771,1002,3
66226,1002,3
67878,1002,5
68707,1002,5
69726,1002,4
69858,1002,3
70011,1002,4
71391,1002,6
73761,1002,4
74254,1002,3
76119,1002,5
76629,1002,6
77993,1002,7
78233,1002,5
78300,1002,2
79611,1002,8
80167,1002,8
80334,1002,2
81076,1002,9
81254,1002,2
81492,1002,5
82983,1002,4
83442,1002,4
84280,1002,5
86110,1002,3
87795,1002,4
88107,1002,5
88296,1002,6
88890,1002,5
89997,1002,5
90596,1002,2
92058,1002,9
92306,1002,4
95794,1002,5
96983,1002,6
97574,1002,1
98716,1002,3
98746,1002,5
99643,1002,4
101432,1002,5
101626,1002,5
101707,1002,9
103252,1002,8
104805,1002,2
105523,1002,2
105542,1002,4
105723,1002,6
107004,1002,5
107911,1002,5
108668,1002,7
109164,1002,3
110392,1002,5
112128,1002,4
114450,1002,5
116089,1002,6
116359,1002,7
116371,1002,4
116420,1002,3
116530,1002,6
116837,1002,2
117102,1002,5
117397,1002,4
118608,1002,5
119175,1002,6
119850,1002,5
120123,1002,4
120401,1002,3
120560,1002,5
121220,1002,5
124516,1002,5
125318,1002,7
126971,1002,3
127498,1002,4
128358,1002,3
130597,1002,6
130938,1002,6
131160,1002,8
131252,1002,8
132304,1002,4
132665,1002,5
133979,1002,3
134913,1002,4
135109,1002,6
135843,1002,4
135910,1002,5
136473,1002,7
137448,1002,5
137481,1002,4
137748,1002,4
138710,1002,5
138793,1002,9
141003,1002,3
141403,1002,4
141921,1002,4
142930,1002,4
144032,1002,4
145818,1002,3
147179,1002,5
147204,1002,7
147426,1002,6
150592,1002,8
150920,1002,5
151169,1002,5
152513,1002,7
153162,1002,6
153493,1002,5
156853,1002,2
157422,1002,3
157985,1002,7
158135,1002,7
159436,1002,4
160651,1002,6
160705,1002,6
162448,1002,5
164025,1002,5
164471,1002,7
164563,1002,4
165226,1002,5
165368,1002,5
166233,1002,9
166980,1002,5
167501,1002,9
167562,1002,4
167695,1002,6
167829,1002,2
168686,1002,7
169047,1002,5
170020,1002,6
171482,1002,6
171711,1002,8
173529,1002,3
174117,1002,8
174140,1002,2
174340,1002,4
174377,1002,5
175630,1002,6
176131,1002,4
176541,1002,4
178206,1002,5
178747,1002,9
179025,1002,4
179863,1002,5
181384,1002,6
183902,1002,3
184787,1002,4
184960,1002,7
185599,1002,3
185677,1002,4
186314,1002,4
188871,1002,6
190843,1002,7
192564,1002,6
193156,1002,7
193158,1002,6
194613,1002,5
194627,1002,3
194975,1002,2
195194,1002,6
195435,1002,2
195474,1002,6
197618,1002,5
198493,1002,3
126,1002,3
1868,1002,4
2210,1002,3
2924,1002,2
3196,1002,2
3314,1002,3
4809,1002,4
4854,1002,3
4906,1002,4
5248,1002,5
5426,1002,3
6189,1002,6
8366,1002,4
8575,1002,6
9346,1002,11
9557,1002,4
10876,1002,4
12605,1002,7
13876,1002,6
14846,1002,2
15101,1002,4
15491,1002,1
16529,1002,7
16657,1002,5
19719,1002,6
20261,1002,3
21149,1002,8
21524,1002,4
24068,1002,5
24302,1002,3
25375,1002,10
25725,1002,2
26166,1002,5
26495,1002,5
27223,1002,4
27254,1002,5
28372,1002,4
29421,1002,6
29485,1002,5
32783,1002,2
33617,1002,6
34102,1002,4
34476,1002,3
34507,1002,5
35138,1002,6
35781,1002,7
35906,1002,8
36343,1002,3
37412,1002,4
37414,1002,4
38710,1002,3
38873,1002,4
39736,1002,6
39841,1002,4
39889,1002,5
40328,1002,3
41692,1002,4
42637,1002,5
43440,1002,6
43799,1002,7
45560,1002,3
45819,1002,1
47206,1002,7
48537,1002,5
48551,1002,4
49249,1002,2
49917,1002,4
50254,1002,7
51189,1002,4
52081,1002,6
52205,1002,4
52566,1002,4
52592,1002,7
53182,1002,4
53970,1002,6
54119,1002,6
54274,1002,5
54999,1002,3
56311,1002,6
56716,1002,5
57221,1002,4
57718,1002,3
58744,1002,7
59183,1002,4
59507,1002,6
60513,1002,7
62468,1002,6
65844,1002,4
67081,1002,3
67268,1002,3
69455,1002,2
70254,1002,5
71416,1002,3
71416,1002,3
71621,1002,9
72231,1002,3
72764,1002,3
72873,1002,3
73518,1002,3
74902,1002,6
75454,1002,5
75455,1002,4
76777,1002,7
77771,1002,5
77948,1002,6
78024,1002,5
79082,1002,6
80212,1002,5
80550,1002,6
81270,1002,3
81304,1002,7
82114,1002,4
82393,1002,4
86383,1002,5
86433,1002,4
87367,1002,2
87597,1002,4
87993,1002,3
89407,1002,10
90099,1002,5
90464,1002,3
91468,1002,3
91902,1002,5
93402,1002,5
93967,1002,7
94088,1002,6
95214,1002,3
97085,1002,9
97297,1002,7
97544,1002,6
97598,1002,7
98281,1002,3
