event,run,cryId,cryE
1616,1002,518,1.75399
1616,1002,585,1.66267
1616,1002,588,0.167169
1616,1002,588,6.94578
1616,1002,589,12.4035
1616,1002,638,16.3638
1616,1002,638,1.63375
2062,1002,56,30.6322
2062,1002,733,1.9287
2812,1002,4,9.70042
2812,1002,5,14.4449
2812,1002,27,3.50075
2812,1002,73,12.136
2812,1002,236,0.983832
2849,1002,308,29.8351
2849,1002,403,2.55243
2849,1002,405,2.67636
2849,1002,574,1.77987
4308,1002,298,1.1476
4308,1002,299,2.88207
4308,1002,395,0.183312
4308,1002,395,28.9772
4607,1002,83,23.5996
4607,1002,162,1.47142
4607,1002,339,4.24534
4607,1002,340,3.62749
4607,1002,771,2.22647
4978,1002,57,28.2385
4978,1002,134,1.97519
4978,1002,135,9.32756
4978,1002,220,0.342817
4978,1002,220,4.86117
5763,1002,152,1.22618
5763,1002,153,0.266559
5763,1002,153,6.22542
5763,1002,238,2.64142
5763,1002,239,20.8886
5855,1002,92,9.79055
5855,1002,171,1.11183
5855,1002,172,13.4044
5855,1002,173,0.124702
5855,1002,173,1.52768
5855,1002,259,14.4193
5855,1002,352,1.73819
7121,1002,54,0.12711
7121,1002,54,31.3284
7121,1002,123,5.06216
7121,1002,124,1.0465
7121,1002,162,0.895088
7121,1002,483,1.1942
7350,1002,20,10.7969
7350,1002,21,17.6755
7350,1002,65,4.91771
7350,1002,146,1.36361
8072,1002,11,4.07245
8072,1002,12,6.08264
8072,1002,13,1.39167
8072,1002,48,9.87945
8072,1002,49,1.26636
8072,1002,110,0.442721
8072,1002,110,4.93517
8731,1002,88,18.0107
8731,1002,168,16.7417
8731,1002,254,1.35326
8731,1002,346,0.90007
8731,1002,531,1.22529
9479,1002,169,7.8912
9479,1002,257,1.06741
9479,1002,349,1.20214
9479,1002,350,2.93681
9479,1002,445,26.1082
9479,1002,531,1.0989
9479,1002,535,2.3921
11122,1002,11,2.34482
11122,1002,12,24.9085
11122,1002,48,1.96005
11122,1002,192,0.866066
11122,1002,1145,1.4482
11122,1002,1146,1.36167
11248,1002,62,19.8756
11248,1002,139,6.55544
11248,1002,140,6.1904
11248,1002,222,2.89485
11248,1002,222,0.355419
13377,1002,93,3.65397
13377,1002,173,0.118516
13377,1002,173,0.288908
13377,1002,173,5.7509
13377,1002,175,6.59048
13377,1002,262,19.0042
13377,1002,263,2.11293
14045,1002,53,18.2762
14045,1002,114,1.03069
14045,1002,116,5.61491
14045,1002,199,1.06618
14045,1002,287,11.937
14045,1002,288,1.06147
14045,1002,553,3.32981
14045,1002,555,2.42148
14911,1002,138,1.34077
14911,1002,139,1.32777
14911,1002,223,4.87601
14911,1002,224,23.985
15537,1002,15,22.9969
15537,1002,59,12.4518
15537,1002,60,4.84748
15537,1002,137,0.262875
15537,1002,137,1.19298
15537,1002,141,1.4409
15537,1002,221,1.02197
16522,1002,23,5.36623
16522,1002,67,25.1234
16522,1002,146,0.0452836
16522,1002,146,3.43354
16522,1002,321,1.79642
17644,1002,617,12.5593
17644,1002,660,20.5903
17895,1002,49,8.23111
17895,1002,195,27.1729
17895,1002,284,1.3892
17953,1002,331,0.923962
17953,1002,331,20.525
17953,1002,423,1.21976
17953,1002,425,11.577
17953,1002,512,2.76319
19023,1002,0,13.532
19023,1002,1,3.87868
19023,1002,18,0.958307
19023,1002,59,1.43255
19023,1002,137,1.59733
19921,1002,77,34.1636
19921,1002,156,1.00223
19921,1002,241,5.65589
19921,1002,242,1.95767
19921,1002,513,1.37214
21067,1002,1,24.5386
21067,1002,18,11.615
21323,1002,20,12.5673
21323,1002,21,8.86147
21323,1002,21,0.102425
21323,1002,22,2.72126
21323,1002,65,2.87844
22867,1002,132,19.1074
22867,1002,216,2.76537
22867,1002,401,11.6225
25188,1002,315,12.9313
25188,1002,316,8.11
25188,1002,317,9.42296
26698,1002,2,9.69485
26698,1002,19,3.95446
26698,1002,19,1.50944
26698,1002,64,22.2894
26698,1002,144,1.37893
27579,1002,94,30.4801
27579,1002,175,2.17031
27579,1002,261,4.08111
28946,1002,1,4.30385
28946,1002,61,1.25207
28946,1002,140,11.4876
28946,1002,140,1.42958
28946,1002,141,1.43797
28946,1002,141,16.9073
29176,1002,387,26.078
29176,1002,479,6.13381
29176,1002,661,2.10036
29780,1002,9,23.0277
29780,1002,40,5.10026
29780,1002,271,0.919968
29803,1002,64,14.1481
30191,1002,120,28.702
30191,1002,203,0.100494
30191,1002,203,5.56291
30191,1002,364,1.67075
30191,1002,386,1.04258
31286,1002,59,7.69203
31286,1002,137,13.4386
31286,1002,221,1.99423
31286,1002,310,8.351
31286,1002,310,2.82021
31286,1002,406,4.12605
33335,1002,245,1.21494
33335,1002,428,9.42531
33335,1002,429,1.39651
33335,1002,515,2.33613
33335,1002,516,0.190294
33335,1002,516,14.4239
33335,1002,585,1.82518
33335,1002,638,1.68429
33801,1002,482,28.9658
33801,1002,562,5.63693
33801,1002,563,4.41644
33801,1002,621,1.11215
34373,1002,34,14.6351
34373,1002,87,1.94248
34373,1002,252,3.25316
35512,1002,42,6.20606
35512,1002,103,35.079
35512,1002,104,2.22955
35512,1002,185,0.989533
35953,1002,146,9.34925
35953,1002,147,25.2463
35953,1002,230,1.74791
35953,1002,321,1.8201
36982,1002,92,1.22448
36982,1002,93,2.00448
36982,1002,94,1.16207
36982,1002,95,36.3473
36982,1002,175,1.47239
37189,1002,90,19.5394
37189,1002,91,4.0973
37189,1002,172,1.04495
37189,1002,349,14.7121
37868,1002,279,10.7707
37868,1002,372,20.2103
37868,1002,373,6.74108
38521,1002,37,14.5038
38521,1002,264,7.80056
38521,1002,357,11.9759
39682,1002,426,0.775102
39682,1002,426,0.340263
39682,1002,514,24.4643
39682,1002,515,9.23451
39682,1002,584,5.8424
39914,1002,91,0.938426
39914,1002,92,10.4581
39914,1002,93,1.26067
39914,1002,93,18.3638
39914,1002,172,1.6201
39914,1002,173,2.23187
39914,1002,174,4.09153
40131,1002,376,1.41035
40131,1002,378,11.3247
40131,1002,469,2.8097
40131,1002,470,16.0649
40131,1002,471,0.118364
40131,1002,471,1.55525
40131,1002,472,3.84857
40725,1002,13,25.7394
40725,1002,50,3.00759
40770,1002,515,34.4146
40770,1002,516,10.0684
40770,1002,584,0.900848
42502,1002,13,18.9739
42502,1002,197,1.49613
42502,1002,283,1.05499
42502,1002,285,8.29966
42502,1002,378,4.90045
43092,1002,79,15.0947
43092,1002,159,0.275098
43092,1002,159,14.2489
43092,1002,336,2.39789
43092,1002,430,2.83099
43320,1002,194,2.59029
43320,1002,194,15.6222
43320,1002,277,1.31864
43320,1002,281,5.36309
43320,1002,282,11.273
43498,1002,35,0.693709
43498,1002,35,15.3428
43498,1002,36,18.4163
43498,1002,96,1.43883
43992,1002,566,4.06942
43992,1002,567,0.822276
43992,1002,567,17.5158
43992,1002,623,1.52848
43992,1002,624,0.193967
43992,1002,624,8.10243
43992,1002,664,1.06365
44033,1002,122,0.362591
44033,1002,122,19.2504
44033,1002,205,12.1381
44033,1002,205,1.10338
44191,1002,186,2.90455
44191,1002,273,1.15157
44191,1002,274,4.37765
44191,1002,365,2.69129
44191,1002,367,1.78774
44191,1002,368,30.9104
44197,1002,1,1.39409
44197,1002,2,37.8292
45880,1002,608,2.59847
45880,1002,609,18.013
46360,1002,390,1.4159
46360,1002,483,9.98831
46360,1002,566,5.88955
46360,1002,624,1.43926
47846,1002,136,16.9304
47846,1002,218,2.52739
47846,1002,219,0.826447
47846,1002,220,23.1411
47846,1002,309,1.15351
47846,1002,310,1.07925
48775,1002,264,30.2239
48775,1002,351,1.3403
48775,1002,448,2.99069
50249,1002,34,32.4752
50249,1002,81,1.27989
50249,1002,88,2.48696
50249,1002,91,0.929828
50249,1002,793,1.16562
50480,1002,34,3.38266
50480,1002,88,24.1736
50480,1002,1157,5.5087
50480,1002,1294,1.32028
50737,1002,116,0.375145
50737,1002,116,5.43357
50737,1002,117,20.8112
50737,1002,199,4.14284
50737,1002,287,0.895526
50737,1002,381,1.67966
50737,1002,474,3.04273
50746,1002,349,1.22233
50746,1002,602,13.7019
50746,1002,603,1.61602
50746,1002,604,0.206382
50746,1002,604,20.7234
50746,1002,650,1.2288
51386,1002,4,36.5529
51386,1002,26,0.991066
51494,1002,569,37.6949
52986,1002,5,0.168296
52986,1002,5,10.234
52986,1002,6,0.181969
52986,1002,6,12.8776
52986,1002,27,1.03554
52986,1002,73,1.60495
52986,1002,74,16.5399
53292,1002,128,0.499629
53292,1002,128,30.3229
53292,1002,211,0.150614
53292,1002,211,1.72844
53292,1002,212,1.34955
53292,1002,300,5.2213
53362,1002,275,0.998006
53362,1002,276,26.4001
53362,1002,369,3.00524
53362,1002,370,3.80246
53615,1002,440,1.75611
53615,1002,441,2.07277
53615,1002,442,10.9352
53615,1002,528,1.21254
53615,1002,529,14.0525
53615,1002,530,4.15436
53615,1002,648,1.23446
54466,1002,71,6.20999
54466,1002,151,0.716641
54466,1002,151,5.91815
54466,1002,325,1.85737
54466,1002,326,23.9787
54649,1002,30,1.29433
54649,1002,31,24.4925
54649,1002,76,7.85074
56175,1002,490,9.10907
56175,1002,571,13.481
56175,1002,572,1.91633
56175,1002,626,6.1382
56175,1002,627,4.799
57481,1002,350,1.59226
57481,1002,351,24.4777
57481,1002,444,1.10853
57481,1002,445,13.7923
57481,1002,446,1.58504
57737,1002,122,1.10972
57737,1002,123,23.3729
57737,1002,207,2.17579
57737,1002,562,1.34137
57737,1002,563,5.40026
57737,1002,564,1.13215
58451,1002,133,2.07032
58451,1002,214,1.49561
58451,1002,217,14.4259
58451,1002,309,3.61473
58451,1002,310,0.46911
58451,1002,310,15.9578
58451,1002,404,1.11683
58827,1002,79,0.39719
58827,1002,79,17.377
58827,1002,159,2.09093
58827,1002,160,13.8115
58827,1002,246,0.834823
60562,1002,42,7.3218
60562,1002,43,25.9812
60562,1002,105,1.95359
60734,1002,58,27.1104
60734,1002,135,1.5664
60734,1002,308,1.07861
60734,1002,309,4.32448
60734,1002,495,4.79258
61526,1002,213,7.02945
61526,1002,301,0.974311
61526,1002,302,26.7936
61526,1002,397,2.91339
62323,1002,53,2.21577
62323,1002,156,0.388383
62323,1002,156,24.756
62323,1002,242,2.54213
62323,1002,286,1.58196
62323,1002,512,0.992073
62587,1002,88,3.93834
62587,1002,89,2.05343
62587,1002,90,26.9056
62587,1002,167,1.13515
62587,1002,169,1.22932
62587,1002,170,2.88943
65375,1002,119,0.0889817
65375,1002,119,17.8411
65375,1002,200,4.34086
65375,1002,201,1.21524
65375,1002,289,0.446408
65375,1002,289,4.59633
65375,1002,475,4.29095
65867,1002,59,10.1798
65867,1002,89,1.02528
65867,1002,133,8.46373
65867,1002,136,7.60483
65867,1002,137,4.62252
65867,1002,138,0.935134
65867,1002,221,3.84455
65867,1002,406,3.70125
66102,1002,348,4.52404
66102,1002,446,4.92629
66102,1002,536,7.5463
66102,1002,537,23.6646
66102,1002,606,0.997699
66676,1002,158,16.4407
66676,1002,242,9.38662
66676,1002,244,2.19745
66676,1002,588,4.52122
67054,1002,138,20.7465
67054,1002,308,1.50976
67054,1002,311,3.266
67054,1002,405,4.18774
67234,1002,1,18.5231
67234,1002,17,14.964
67234,1002,18,0.996885
67234,1002,63,1.1123
67234,1002,142,1.76825
67504,1002,208,2.80973
67504,1002,297,11.9976
67504,1002,391,12.2616
67504,1002,483,3.93827
67504,1002,564,1.43779
68774,1002,88,15.2604
68774,1002,168,9.20462
68774,1002,254,2.82054
68774,1002,254,0.30359
68774,1002,255,3.69555
68774,1002,346,1.70718
68774,1002,1112,1.31303
71614,1002,24,10.1839
71614,1002,69,18.0741
71614,1002,70,1.7883
71614,1002,149,5.88215
71614,1002,420,2.34071
72157,1002,129,14.3355
72157,1002,212,7.99177
72157,1002,213,3.60138
72157,1002,301,7.54024
72157,1002,303,1.13348
72728,1002,5,25.3173
72728,1002,22,1.86165
72728,1002,29,5.69107
72728,1002,153,2.6397
72750,1002,3,1.72752
72750,1002,24,22.0005
72750,1002,25,3.53519
72750,1002,68,4.43917
72750,1002,69,6.97454
72750,1002,145,1.55282
72750,1002,231,2.70147
73461,1002,47,2.96403
73461,1002,50,1.28315
73461,1002,112,3.20629
73461,1002,113,1.06814
73461,1002,196,5.61108
73461,1002,196,0.249683
73461,1002,285,21.2614
74401,1002,66,22.0967
74401,1002,145,1.31017
74401,1002,229,1.06883
74401,1002,319,1.19698
74401,1002,320,18.3864
74401,1002,414,0.787044
75290,1002,80,3.86322
75290,1002,159,1.18157
75290,1002,160,2.33015
75290,1002,244,1.35785
75290,1002,245,0.181538
75290,1002,245,11.662
75290,1002,246,2.22291
75290,1002,336,8.17099
75290,1002,337,10.0758
75290,1002,337,0.562444
75346,1002,23,1.33328
75346,1002,67,26.2545
75346,1002,145,5.99484
75423,1002,387,6.94703
75423,1002,560,33.2537
76227,1002,33,23.8513
76227,1002,59,3.9501
77431,1002,54,4.85492
77431,1002,123,4.475
77431,1002,206,4.63883
77431,1002,207,1.0101
77951,1002,480,0.189206
77951,1002,480,16.3451
77951,1002,560,14.5414
77951,1002,617,1.08167
78220,1002,244,9.64582
78220,1002,336,11.0308
78220,1002,337,1.77989
78220,1002,429,1.31783
78220,1002,430,14.2686
78797,1002,117,24.4283
78797,1002,199,3.78312
78797,1002,287,1.12875
78797,1002,382,5.05436
78797,1002,555,3.54736
78797,1002,614,1.48039
79357,1002,380,2.62753
79357,1002,381,1.30194
79357,1002,473,7.56617
79357,1002,474,0.438721
79357,1002,474,16.3028
79357,1002,475,11.4159
79574,1002,2,34.6199
79574,1002,19,4.51547
79574,1002,142,1.94046
80025,1002,117,28.4233
80025,1002,288,3.21753
80510,1002,125,1.20718
80510,1002,211,2.51962
80510,1002,300,0.288338
80510,1002,300,12.5947
80510,1002,301,12.6741
80510,1002,396,0.959675
80510,1002,396,7.64473
81192,1002,382,4.86451
81192,1002,383,21.0509
81192,1002,475,13.1482
81739,1002,393,2.09826
81739,1002,487,30.5628
81739,1002,490,3.15468
81739,1002,571,1.58616
81917,1002,410,4.72829
81917,1002,412,15.1844
81917,1002,413,0.283008
81917,1002,413,18.9259
82218,1002,273,1.12672
82218,1002,274,1.67406
82218,1002,275,1.85367
82218,1002,276,3.22901
82218,1002,368,2.22879
82218,1002,369,5.82119
82218,1002,370,21.9045
83867,1002,90,1.59929
83867,1002,91,18.0247
83867,1002,92,1.33011
83867,1002,171,1.31261
83867,1002,172,1.27962
83867,1002,257,3.1596
83867,1002,350,7.17384
84799,1002,334,3.94693
84799,1002,427,15.8835
84799,1002,428,11.5616
84799,1002,515,1.9488
85832,1002,16,6.20251
85832,1002,60,13.4923
85832,1002,61,2.61271
85832,1002,137,10.8582
85832,1002,139,1.14513
85832,1002,217,1.04973
85832,1002,220,1.72585
85832,1002,222,0.982779
85832,1002,308,1.40741
87281,1002,12,14.0197
87281,1002,48,1.62354
87281,1002,50,1.61623
87281,1002,112,12.0988
87281,1002,194,1.65381
87281,1002,283,3.89119
87281,1002,470,2.24138
87768,1002,86,1.56675
87768,1002,90,9.69527
87768,1002,348,0.210015
87768,1002,348,13.7565
87768,1002,442,8.98005
88218,1002,128,3.08497
88218,1002,129,1.79871
88218,1002,212,18.0263
88218,1002,213,0.932149
88218,1002,714,5.72969
88218,1002,716,3.95342
88257,1002,92,7.62422
88257,1002,93,14.272
88257,1002,173,8.7867
88257,1002,351,1.82195
88257,1002,448,11.4908
89766,1002,82,0.949019
89766,1002,83,16.5105
89766,1002,162,2.40709
89766,1002,163,4.8193
89848,1002,35,8.44406
89848,1002,96,13.1025
89848,1002,99,0.9581
89848,1002,174,0.0998269
89848,1002,174,2.15457
89848,1002,177,11.1366
89848,1002,178,2.09029
89848,1002,264,1.35129
89848,1002,355,2.32007
89963,1002,428,1.30588
89963,1002,517,0.23674
89963,1002,517,16.6408
89963,1002,518,6.93292
89963,1002,519,11.2869
90535,1002,24,7.60014
90535,1002,25,20.5676
90535,1002,69,3.78767
90535,1002,70,1.80099
90535,1002,508,2.16322
92660,1002,152,19.1368
92660,1002,153,8.00458
92660,1002,237,5.36135
92777,1002,21,7.2174
92777,1002,66,27.9895
93658,1002,429,1.00758
93658,1002,587,6.6377
93658,1002,588,6.30134
94365,1002,175,2.74563
94365,1002,258,5.53319
94365,1002,261,1.34999
94365,1002,262,3.42175
94365,1002,351,3.08001
94365,1002,355,6.3625
94365,1002,356,14.1936
94365,1002,449,3.23888
