event,run,size,CaloEoP,CaloE,TrackerEoP,TrackerE,P
1616,1002,5,0.796092,39.1297,1.00005,49.1549,49.1522
2062,1002,1,0.738749,30.6322,1.00008,41.4681,41.4649
2812,1002,4,0.91096,39.782,1.00007,43.6734,43.6704
2849,1002,3,0.834535,35.0639,1.00007,42.0193,42.0161
4308,1002,3,0.788898,33.0069,1.00007,41.8423,41.8392
4607,1002,4,0.734224,32.9438,1.00006,44.8718,44.8689
4978,1002,4,0.908207,44.4025,1.00005,48.8929,48.8902
5763,1002,4,0.711548,30.9816,1.00007,43.5441,43.5411
5855,1002,6,0.927953,41.992,1.00006,45.2552,45.2523
7121,1002,4,0.80499,38.6312,1.00006,47.9925,47.9897
7350,1002,4,0.771851,34.7537,1.00006,45.0293,45.0264
8731,1002,4,0.832452,37.331,1.00006,44.8476,44.8446
9479,1002,7,0.897832,42.6968,1.00006,47.5582,47.5554
11122,1002,3,0.591854,29.2134,1.00005,49.3617,49.3591
11248,1002,4,0.848584,35.5162,1.00007,41.8567,41.8536
13377,1002,5,0.897889,37.1125,1.00008,41.3362,41.333
14045,1002,8,0.853492,44.7377,1.00005,52.4198,52.4173
14911,1002,4,0.721212,31.5295,1.00007,43.7204,43.7174
15537,1002,6,0.876536,43.952,1.00005,50.1455,50.1429
16522,1002,4,0.705637,35.7196,1.00005,50.623,50.6204
17644,1002,2,0.724902,33.1496,1.00006,45.7326,45.7297
17895,1002,3,0.896452,36.7932,1.00008,41.0464,41.0432
17953,1002,4,0.833113,36.085,1.00007,43.3164,43.3134
19023,1002,4,0.422158,20.4406,1.00006,48.4219,48.4192
19921,1002,5,0.927192,44.1515,1.00006,47.6212,47.6185
21067,1002,2,0.846233,36.1536,1.00007,42.726,42.723
21323,1002,4,0.642167,27.0285,1.00007,42.0926,42.0895
22867,1002,3,0.71752,33.4952,1.00006,46.6848,46.682
25188,1002,3,0.621414,30.4643,1.00005,49.0268,49.0242
26698,1002,4,0.785849,37.3176,1.00006,47.4898,47.487
27579,1002,3,0.772998,36.7315,1.00006,47.521,47.5183
28946,1002,4,0.81804,33.9509,1.00008,41.5059,41.5027
29176,1002,3,0.716716,34.3122,1.00006,47.8769,47.8742
29780,1002,2,0.640386,28.1279,1.00007,43.9264,43.9234
29803,1002,1,0.315469,14.1481,1.00006,44.8507,44.8478
30191,1002,3,0.79877,35.3075,1.00007,44.2052,44.2023
31286,1002,5,0.813871,35.6019,1.00007,43.7469,43.7439
33335,1002,7,0.771078,32.3062,1.00007,41.9006,41.8975
33801,1002,4,0.908199,40.1313,1.00007,44.1908,44.1878
34373,1002,3,0.494912,19.8307,1.00008,40.0724,40.0691
35512,1002,3,0.91664,43.5146,1.00006,47.4746,47.4719
35953,1002,4,0.789733,38.1636,1.00006,48.3273,48.3246
36982,1002,5,0.885087,42.2107,1.00006,47.6938,47.691
37189,1002,4,0.864824,39.3938,1.00006,45.5541,45.5512
37868,1002,3,0.822046,37.7221,1.00006,45.891,45.8881
38521,1002,3,0.719169,34.2803,1.00006,47.6693,47.6666
